Item,Amount,Category,Date,Balance
Gas,500.0,Transportation,10/14/2024,3000.0
Toll Fee,68.0,Transportation,10/14/2024,
Starbucks (Triple Mocha Frapuccino),220.0,Food,10/14/2024,
24 Chicken,140.0,Food,10/14/2024,
Prism (Computer Shop),100.0,Entertainment,10/14/2024,
Hot Chocolate,20.0,food,10/14/2024,
Toll Fee,68.0,Transportation,10/14/2024,
Gas,300.0,Transportation,10/15/2024,2000.0
Toll Fee,68.0,Transportation,10/15/2024,
Parking,60.0,Transportation,10/15/2024,
Jollibee,167.0,Food,10/15/2024,
Water,25.0,Food,10/15/2024,
Belgian Waffles,40.0,Food,10/15/2024,
Parking,40.0,Transportation,10/15/2024,
Hot Chix,600.0,Food,10/15/2024,
Locobomb Shawarma,198.0,Food,10/15/2024,
Pepsi Lime,80.0,Food,10/15/2024,
Toll Fee,68.0,Transportation,10/15/2024,
Gas,500.0,Transportation,10/16/2024,1000.0
Toll Fee,68.0,Transportation,10/16/2024,
To Go (Butter Chicken),134.0,Food,10/16/2024,
Water,17.0,Food,10/16/2024,
Parking,30.0,Transportation,10/17/2024,
Igloo Yogurt,135.0,Food,10/18/2024,
Egg Balls (Kwek-Kwek),50.0,Food,10/19/2024,
Barbeque & Isaw,70.0,Food,10/20/2024,
